CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-28 00:00,m^3/s,3.36999999999736,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-29 00:00,m^3/s,3.94,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-06-30 00:00,m^3/s,2.8,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-01 00:00,m^3/s,2.75,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-02 00:00,m^3/s,2.79999999999954,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-03 00:00,m^3/s,3,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-04 00:00,m^3/s,2.9,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-05 00:00,m^3/s,4.54,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-06 00:00,m^3/s,3.67,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-07 00:00,m^3/s,2.8,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-08 00:00,m^3/s,3,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-09 00:00,m^3/s,3,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-10 00:00,m^3/s,2.9,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-11 00:00,m^3/s,2.9,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-12 00:00,m^3/s,3.1849999999965,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-13 00:00,m^3/s,3.94,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-14 00:00,m^3/s,3,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-15 00:00,m^3/s,2.7,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-16 00:00,m^3/s,2.7,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-17 00:00,m^3/s,3,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-18 00:00,m^3/s,2.85,Preliminar
2111700151,EL GUAYABO 2 [2111700151],CAUDAL,Caudal máximo diario,2022-07-19 00:00,m^3/s,2.61,Preliminar
